name,description,stars,language,forks,url,created_at,updated_at,category,language_detected
vuestorefront/vue-storefront,Alokai is a Frontend as a Service solution that simplifies composable commerce. It connects all the technologies needed to build and deploy fast & scalable ecommerce frontends. It guides merchants to deliver exceptional customer experiences quickly and easily.,10597,TypeScript,2077,https://github.com/vuestorefront/vue-storefront,2017-08-15 06:33:52+00:00,2024-10-06 15:18:38+00:00,UX Related,en
Azure/Azure-Network-Security,Resources for improving Customer Experience with Azure Network Security,783,Python,303,https://github.com/Azure/Azure-Network-Security,2019-10-17 23:46:28+00:00,2024-10-02 22:01:39+00:00,UX Related,en
aws-samples/retail-demo-store,"AWS Retail Demo Store is a sample retail web application and workshop platform demonstrating how AWS infrastructure and services can be used to build compelling customer experiences for eCommerce, retail, and digital marketing use-cases",714,Jupyter Notebook,504,https://github.com/aws-samples/retail-demo-store,2020-04-06 10:03:48+00:00,2024-10-04 21:00:17+00:00,UX Application,en
TT-Tutorials/GANG-Nuker,"GANG-Nuker, This Discord Nuker/Raider has 32+ AMAZING Options! Its ALWAYS up to date with discord and making sure its 100% SAFE for my customers! GANG-Nuker is one of the BEST tools on whole of discord, make sure to check out the Premium Version for a better experience! ENJOY RAIDING :)",211,Python,142,https://github.com/TT-Tutorials/GANG-Nuker,2022-09-11 02:23:10+00:00,2024-10-06 17:15:17+00:00,Tool,en
aws/aws-northstar,"NorthStar is an open source design system with reusable React components for rapidly prototyping intuitive, meaningful and accessible user experience. It simplifies your work and ensures consistent, predictable user experience at scale for your customers. With NorthStar, you can focus on innovation and do more with less.",208,TypeScript,37,https://github.com/aws/aws-northstar,2020-09-16 23:15:27+00:00,2024-10-02 06:25:06+00:00,Tool,en
